period,temp_max_mean,temp_max_std,temp_mean_mean,temp_mean_std,humidity_mean_mean,humidity_mean_std,humidity_min_mean,humidity_min_std,rain_mm_mean,rain_mm_std,light_mean_mean,light_mean_std
94,27.5274193548387,1.1451592836571842,20.894702060931902,0.7739285120855238,78.18321012544804,4.948412928774937,50.43467741935483,6.27251171587638,0.2032258064516129,0.3978977012313106,424.5048163082437,28.541254371478885
95,27.52096774193548,1.1535650677752842,20.923521505376346,0.7363017964047566,78.00097446236559,4.71160732717399,50.34435483870966,6.1514046826633395,0.14193548387096772,0.21721601160808734,425.5445788530466,26.9329603679237
96,27.52177419354838,1.152962523521541,20.901422491039426,0.7572967895692886,78.14493727598564,4.861311903735143,50.387096774193544,6.183606926677658,0.14838709677419354,0.2219173535980388,424.59901433691755,27.50984048226216
97,27.50483870967742,1.1586525822918672,20.884218189964155,0.7563451365115054,78.26556899641575,4.888939635430128,50.52258064516128,6.29568421896669,0.14193548387096774,0.22326993161998193,423.9996639784946,28.198094664772565
98,27.472043010752685,1.2058567501125967,20.90189292114695,0.7350158903337575,78.14924955197132,4.773325744658044,50.59193548387096,6.402272991865123,0.132258064516129,0.21815452745579766,422.9111783154121,29.077187201198253
99,27.550268817204298,1.0860361238769134,20.94462365591398,0.6847929945616069,77.92930107526882,4.643269132365252,50.30403225806451,6.19134172579671,0.12258064516129033,0.21711698447205038,423.71191756272395,28.139486331049707
100,27.535752688172042,1.0986422461139185,20.967618727598566,0.6760976500991798,77.91444892473116,4.639930535355205,50.42338709677419,6.268771595123557,0.1193548387096774,0.2182038112082519,422.8510304659498,28.53257329509082
101,27.543817204301078,1.103638695033672,20.96890681003584,0.6764119525042834,78.02251344086021,4.668835348415683,50.59193548387096,6.2018692985017765,0.13870967741935483,0.23334869381084142,420.8480062724014,27.16354831778498
102,27.547849462365594,1.0992568359568426,20.981731630824374,0.6646260041197602,78.03742159498206,4.686551973499888,50.65725806451613,6.292231299879464,0.22903225806451616,0.5305302683084141,420.0425627240143,27.580765907746652
103,27.545430107526883,1.1003573466481607,20.94908154121864,0.7018142248819701,78.4252688172043,4.939206416064545,51.059677419354834,6.405478376031445,0.2516129032258065,0.5353322754713098,418.6045026881721,27.214029901474746
104,27.430913978494623,1.2043962555993737,20.881294802867384,0.8170665521402828,78.86569220430107,5.279013987333298,51.660483870967745,6.673894334749228,0.25806451612903225,0.5346489150513553,416.153561827957,29.104381670104427
105,27.365591397849464,1.2326889118528717,20.845609318996413,0.8325702213347955,79.11920922939069,5.356377008979029,51.99516129032258,6.781059465387269,0.27419354838709675,0.5341458863990147,414.8043234767025,29.099380521203113
106,27.332526881720433,1.251573740519107,20.81200716845878,0.8403099969631934,79.3313732078853,5.4388967784858195,52.27822580645161,6.9630535146092205,0.2903225806451613,0.5331384052380628,413.4653897849462,29.935416318747304
107,27.30510752688172,1.228007791587951,20.81418010752688,0.8410373494178423,79.43076836917561,5.406926271421052,52.50483870967741,6.800436319809555,0.2903225806451613,0.5331384052380628,413.97345430107526,30.062102505173538
108,27.260752688172044,1.219409377276836,20.808624551971327,0.8367671205671813,79.5788082437276,5.294460778895923,52.79677419354839,6.608040373714824,0.2903225806451613,0.5331384052380629,413.3123879928316,29.470787365965172
109,27.171236559139782,1.1673605847239423,20.80396505376344,0.8340898513141208,79.66127912186381,5.235995313730068,53.145967741935486,6.4332375751968565,0.2903225806451613,0.5331384052380628,412.8054435483871,29.177520322414153
110,27.128494623655918,1.1478013890363763,20.78439740143369,0.8206291946263009,79.82073252688171,5.10713634178362,53.341935483870955,6.308272964583803,0.2903225806451613,0.5331384052380629,412.278561827957,29.19410829755796
111,27.067204301075268,1.140763908048817,20.78353494623656,0.8197419362210089,79.88212365591397,5.056881907875646,53.60161290322579,6.236755752138122,0.2903225806451613,0.5331384052380629,411.45340501792117,29.446738175178226
112,27.018817204301072,1.0957387321691368,20.75036962365591,0.7805445886081853,80.17484318996414,4.7171298623595375,53.923387096774185,5.969809235798741,0.2903225806451613,0.5331384052380629,409.1012544802868,27.48031340470084
113,26.967204301075267,1.0532004475861654,20.71141353046595,0.7721541993813764,80.43837365591396,4.692832519724476,54.16048387096774,5.710041499387827,0.28709677419354834,0.5333803742695394,407.4346998207886,25.740099210849664
114,26.884946236559138,0.9823003504502195,20.67861783154122,0.7386262215337531,80.74786066308243,4.4748408384710965,54.75,5.272665360138077,0.28709677419354834,0.5333803742695394,405.2979390681004,23.009002836536833
115,26.86559139784946,0.9606897163927571,20.653427419354838,0.7137165390266038,80.83163082437275,4.337144757509513,54.71854838709677,5.325391095739414,0.28709677419354834,0.5333803742695394,403.6788754480287,19.360952462431023
116,26.84543010752688,0.9391530825934624,20.62261424731183,0.7046749192024314,81.0816420250896,3.9840631259991164,54.895967741935486,5.07210959058701,0.28709677419354834,0.5333803742695394,403.20116487455203,18.82357969155762
117,26.767204301075267,0.7888867433965474,20.5528561827957,0.6516651687799356,81.50517473118279,3.518250239933826,55.38225806451614,4.249888202198123,0.31935483870967735,0.5455390941314897,401.581765232975,17.115596952663694
118,26.706720430107524,0.7291433944058843,20.522334229390687,0.608127550778737,81.58064516129032,3.395307498256083,55.766129032258064,3.9675798058928864,0.2967741935483871,0.5437425070550347,399.9054659498209,16.73435038354321
119,26.76317204301075,0.8098804615541535,20.5379144265233,0.6227760033292439,81.23653673835125,3.924554579403231,55.524193548387096,4.229570919288424,0.2806451612903226,0.5449277351714993,400.34498207885315,17.453187165743294
120,26.77849462365591,0.8057972076055778,20.557874103942655,0.6256907344808771,80.96145833333333,4.132974995006536,55.306451612903224,4.340641118841852,0.25483870967741934,0.5384166352540378,399.9725582437276,17.164398507595273
