date,rain_7d,rain_30d,humidity_7d,humidity_min_7d,tempmax_7d,light_7d,humidity_trend,temp_trend,dry_spell,temp_mean_z,humidity_mean_z,rain_mm_z,rain_deficit_30d,y,stress_score
88,2.5,11.3,79.41502976190476,44.224999999999994,29.825,429.8050595238096,1.0502480158730094,1.1750000000000007,0,1.418517231389111,-1.0270870154317193,-0.6660172657519109,2.1516129032258053,1,0.22049725678012008
89,2.0,11.700000000000001,77.69424603174603,36.95,31.125,438.42162698412693,-1.6723710317460245,3.7250000000000014,0,2.0932042322064195,-1.7443451959884062,0.10018927677320072,0.0,1,0.2500223112760215
90,0.9,11.8,76.28085317460318,36.95,31.125,442.23908730158735,-4.496081349206335,3.6999999999999993,0,0.9463708105790484,-0.14114226327710802,-0.5054863300307929,0.0,0,0.05908039580204475
91,0.9,12.0,75.47410714285715,36.95,31.125,442.83482142857144,-5.54945436507937,3.6999999999999993,0,0.633370115627501,-0.9987479145199181,-0.258615230969718,0.0,0,0.11489749865803489
92,0.9,12.100000000000001,74.50749007936508,36.95,31.125,453.03224206349205,-7.023809523809518,3.6999999999999993,0,0.35262313196900336,-1.2898380264744693,-0.4052398346609475,0.0,0,0.12511765880465595
93,0.8,12.100000000000001,73.41557539682539,36.95,31.125,463.01388888888897,-8.762251984127005,3.6999999999999993,0,1.2087252518703644,-1.2179962942654665,-0.621833539393523,0.0,0,0.16193595378230707
94,1.0,12.3,73.54722222222222,36.95,31.125,455.155753968254,-7.326240079365093,1.9750000000000014,0,1.2956119252260527,-0.9060603104558905,-0.18864612992837212,0.0,0,0.14028562213262685
95,1.3,12.600000000000001,73.61165674603174,36.95,31.125,452.87896825396825,-5.803373015873021,1.3000000000000007,0,1.3404383730824663,-0.8391589688037244,0.02794757480420335,0.0,0,0.13695183272110034
96,2.9,14.600000000000001,75.97366071428573,45.8,29.5,438.50396825396825,-1.720585317460305,-1.625,1,-1.5141707513305047,2.002906535592702,3.7365028576653976,0.0,0,0.006666666666666667
97,3.0,14.8,76.41478174603175,45.8,29.5,438.1582341269841,0.1339285714285694,-1.625,0,-0.5413709487349742,0.7057632760653605,-0.06853211287971184,0.0,0,0.0
98,3.0,15.000000000000002,76.93492063492064,45.875,29.5,429.75644841269843,1.4608134920634939,-1.625,0,0.016028166357221547,0.06894523777625841,0.0,0.0,0,0.0008014083178610774
99,3.3,14.9,78.67351190476191,45.875,29.5,420.733630952381,4.166021825396825,-1.625,0,-1.70276896739966,1.9139787525686762,0.6316782644695179,0.0,0,0.0
100,3.6,14.9,80.30243055555556,45.875,29.5,408.92162698412693,6.886855158730171,-1.625,0,-2.0491694353844934,1.828771997552962,0.37239174430446365,0.0,0,0.0
101,3.5,14.8,81.03958333333334,47.300000000000004,29.175,408.60019841269843,7.492361111111123,-1.9499999999999993,0,-1.0791957025568824,0.6834366757919565,-0.1679859884123728,0.0,0,0.0
102,3.2,13.9,81.50357142857142,45.5,28.075,412.21775793650795,7.891914682539678,-3.0500000000000007,0,-0.26289841620416704,0.3551545261046828,-0.4320421022780161,0.0,0,0.0
103,1.2,10.9,80.95897817460317,45.5,28.075,419.6205357142857,4.985317460317447,-1.4250000000000007,0,-1.3035113763017847,1.68875649935704,-0.43204210227801615,0.0,0,0.0
104,1.0,10.6,80.18690476190476,45.5,28.075,423.1517857142857,3.7721230158730066,-1.4250000000000007,0,-0.6907283998247687,-0.1647887024573532,-0.4789112745523917,0.0,0,0.0137323918714461
105,0.9,10.1,79.93229166666666,44.875,28.25,427.68253968253964,2.997371031746013,-1.25,0,-0.6577371402581029,-0.15853656796481755,-0.22096991147081874,0.0,0,0.013211380663734796
106,0.5,8.9,78.7860119047619,44.875,28.25,430.3328373015873,0.11249999999999716,-1.25,0,-0.14994387095329337,0.0382577738290097,-0.5227762617399517,0.0,0,0.0
